START ;OUT1;POOL2;OUT2;POOL3;OUT3;POOL4;OUT4;POOL5;OUT5;;;;Last;;;;;;;;;
USDC/USDT;USDT;crvUSD/USDT;crvUSD;wcrvUSD*;wcrvUSD*;tgUSD-wcrvUSD*;tgUSD*;;;;;;tgUSD*;;;;;;;;;
USDC/USDT;USDC;USR/USDC;USR;wUSR*;wUSR*;tgUSD-wUSR*;tgUSD*;;;;;;tgUSD*;;;;;;;;;
USDC/USDT;USDC;USDC/USDe;USDe;wUSDe*;wUSDe*;tgUSD-wUSDe*;tgUSD*;;;;;;tgUSD*;;;;;;;;;
USDC/USDT;USDC;FRAX/USDC;FRAX;FRAX/frxUSD;frxUSD;wfrxUSD*;wfrxUSD*;tgUSD-wfrxUSD*;tgUSD*;;;;tgUSD*;;;;;;;;;
USR/RLP;USR;USR/USDC;USDC;tgUSD-USDC*;tgUSD*;;;;;;;;tgUSD*;;;;;;;;;
USR/RLP;USR;DOLA/USR;DOLA;wDOLA*;wDOLA*;tgUSD-wDOLA*;tgUSD*;;;;;;tgUSD*;;;;;;;;;
USR/RLP;USR;USR/USDC;USDC;crvUSD/USDC;crvUSD;wcrvUSD*;wcrvUSD*;tgUSD-wcrvUSD*;tgUSD*;;;;tgUSD*;;;;;;;;;
USR/RLP;USR;wUSR*;wUSR*;tgUSD-wUSR*;tgUSD*;;;;;;;;tgUSD*;;;;;;;;;
USR/RLP;USR;USR/USDC;USDC;USDC/USDe;USDe;wUSDe*;wUSDe*;tgUSD-wUSDe*;tgUSD*;;;;tgUSD*;;;;;;;;;
;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0
frxUSD/USDe;USDe;USDC/USDe;USDC;tgUSD-USDC*;tgUSD*;;;;;;;;tgUSD*;;;;;;;;;
frxUSD/USDe;frxUSD;sUSDS/frxUSD;sUSDS;DOLA/sUSDS;DOLA;wDOLA*;wDOLA*;tgUSD-wDOLA*;tgUSD*;;;;tgUSD*;;;;;;;;;
frxUSD/USDe;USDe;crvUSD/USDe;crvUSD;wcrvUSD*;wcrvUSD*;tgUSD-wcrvUSD*;tgUSD*;;;;;;tgUSD*;;;;;;;;;
frxUSD/USDe;USDe;USDC/USDe;USDC;USR/USDC;USR;wUSR*;wUSR*;tgUSD-wUSR*;tgUSD*;;;;tgUSD*;;;;;;;;;
frxUSD/USDe;USDe;wUSDe*;wUSDe*;tgUSD-wUSDe*;tgUSD*;;;;;;;;tgUSD*;;;;;;;;;
frxUSD/USDe;frxUSD;wfrxUSD*;wfrxUSD*;tgUSD-wfrxUSD*;tgUSD*;;;;;;;;tgUSD*;;;;;;;;;
DOLA/USR;USR;USR/USDC;USDC;tgUSD-USDC*;tgUSD*;;;;;;;;tgUSD*;;;;;;;;;
DOLA/USR;DOLA;wDOLA*;wDOLA*;tgUSD-wDOLA*;tgUSD*;;;;;;;;tgUSD*;;;;;;;;;
DOLA/USR;DOLA;DOLA/scrvUSD;scrvUSD;scrvUSD;crvUSD;wcrvUSD*;wcrvUSD*;tgUSD-wcrvUSD*;tgUSD*;;;;tgUSD*;;;;;;;;;
DOLA/USR;USR;wUSR*;wUSR*;tgUSD-wUSR*;tgUSD*;;;;;;;;tgUSD*;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
DOLA/USR;DOLA;DOLA/sUSDS;sUSDS;sUSDS/frxUSD;frxUSD;wfrxUSD*;wfrxUSD*;tgUSD-wfrxUSD*;tgUSD*;;;;tgUSD*;;;;;;;;;
scrvUSD/sUSDe;sUSDe;DOLA/sUSDe;DOLA;wDOLA*;wDOLA*;tgUSD-wDOLA*;tgUSD*;;;;;;tgUSD*;;;;;;;;;
scrvUSD/sUSDe;scrvUSD;scrvUSD;crvUSD;wcrvUSD*;wcrvUSD*;tgUSD-wcrvUSD*;tgUSD*;;;;;;tgUSD*;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
scrvUSD/sUSDe;scrvUSD;scrvUSD/sUSDS;sUSDS;sUSDS/frxUSD;frxUSD;wfrxUSD*;wfrxUSD*;tgUSD-wfrxUSD*;tgUSD*;;;;tgUSD*;;;;;;;;;
